VERSION MODEL    N_VALID GRID_RES DESC    FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH   WIDTH    AREA AREA_THRESH CURVATURE  CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_95   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF ASPECT_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA CURVATURE_RATIO COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_000000 000000     000000   20241130_235838 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS          F001       CF000 1198.06452  877.49462     47.34576    -85.71472 -20.24607 22.47094  4.83724   62          62 1724.305    2072.02736   940.89737    0.27907     30.625       31.5         32.3125      33.59375     34.24375       34.80312     2013.0625      NA            NA               NA         NA         NA          NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_000000 000000     000000   20241130_235838 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS          F002       CF000 1322.82883  825.36036     45.46308    -81.24353  -8.22481 29.27395  4.53109   74          72 1949.59396  2446.32918   497.48299    0.29858     30.9375      31.76562     32.5625      33.85938     40.375         46.95312     2534.9375      NA            NA               NA         NA         NA          NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_000000 000000     000000   20241130_235838 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS          F003       CF002 1292.86275  824.66667     45.58087    -82.37636   4.92792 18.19117  2.59392   28          24 2177.06829  2660.82594   105.84614    0.30864     28.9625      34.34375     37.53125     39.875       40.7875        41.07812     1019.3125      NA            NA               NA         NA         NA          NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_000000 000000     000000   20241130_235838 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS          F004       CF001 1480.05825  797.50485     43.8648     -75.65651  25.63712 19.6893   7.06757   74          74 1924.29789  2415.46837   833.69776    0.29187     30.6875      31.14062     31.59375     32.875       35.075         35.75625     2384.0625      NA            NA               NA         NA         NA          NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_000000 000000     000000   20241130_235838 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS          F005       CF000 1465.11111  790.2         43.76705    -76.2608   60.31348  8.55751  5.95126   31          28 1887.38144  2048.69575  1461.51463    0.11429     30.9375      35.34375     39.1875      42.28125     45.25          46.46875     1192.4375      NA            NA               NA         NA         NA          NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_000000 000000     000000   20241130_235838 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS          F006       CF000 1647.73529  747.4902      41.37607    -70.22352  35.51111 25.22611  4.76944   66          64 3153.60127  1472.15794  3324.4169     0.29787     32.21875     33.71875     35.4375      37.54688     39.59375       40.01562     2351.8125      NA            NA               NA         NA         NA          NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_000000 000000     000000   20241130_235838 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS          F007       CF000 1619.16667  730.0625      41.14624    -71.38355  24.03284 11.16942  4.56656   31          29 1985.86737  2435.67821  1079.74159    0.19481     32.4375      34.78125     36.625       39.625       41.8125        42.21875     1149.75        NA            NA               NA         NA         NA          NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_000000 000000     000000   20241130_235838 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS          F008       CF000 1367.34375  706.625       42.11098    -80.41023  29.92423  8.06222  4.09662   19          19 1723.92652  2003.47178  1151.9446     0.19149     30.55        30.8125      31.5625      32.15625     32.3625        32.58125      598.0625      NA            NA               NA         NA         NA          NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_000000 000000     000000   20241130_235838 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS          F009       CF000 1356.17241  702.13793     42.04703    -80.83838  16.3728   8.52124  3.16023   16          12 1864.65938  2378.84027   387.6597     0.27273     28.09375     29.92188     38.59375     42.03125     42.78125       43.5          582.8125      NA            NA               NA         NA         NA          NA                      NA         NA             NA               NA              NA               NA                         NA       NA
V11.1.0 HRRR_OPS 656523  3        E_CONUS 140000    20241201_000000 000000     000000   20241130_235838 000000    1        >=30     1       >=30    REFC     dB         L0       REFC    dB        R1      MRMS          F010       CF000 1186.83908  535.36782     38.25123    -87.59822 -18.14893 14.54945  8.20919   53          39 1527.01955  1969.92637   382.61096    0.43011     28.375       29.9375      30.75        35.3125      36.3125        36.75        1684.5625      NA            NA               NA         NA         NA          NA                      NA         NA             NA               NA              NA               NA                         NA       NA
