VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL FY_OY FY_ON FN_OY FN_ON EC_VALUE
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  MIN_SQUARE     9           <260        <260       NA         NA    CTC       45545     2  3101     6 42436      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  MIN_SQUARE     9           >=260       >=260      NA         NA    CTC       45545 42436     6  3101     2      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  MIN_SQUARE     9           <260        <260       NA         NA    CTC       61807     0     0     0 61807      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  MIN_SQUARE     9           >=260       >=260      NA         NA    CTC       61807 61807     0     0     0      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  MAX_SQUARE     9           <260        <260       NA         NA    CTC       45545     0  1352     8 44185      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC165  MAX_SQUARE     9           >=260       >=260      NA         NA    CTC       45545 44185     8  1352     0      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  MAX_SQUARE     9           <260        <260       NA         NA    CTC       61807     0     0     0 61807      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 DPT      K          Z2       DPT     K         Z2      ANALYS DTC166  MAX_SQUARE     9           >=260       >=260      NA         NA    CTC       61807 61807     0     0     0      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  NEAREST        1           <5          <5         NA         NA    CTC       45845 38666  6726   345   108      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  NEAREST        1           >=5         >=5        NA         NA    CTC       45845   108   345  6726 38666      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  NEAREST        1           <5          <5         NA         NA    CTC       62094 49080  1409 10898   707      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  NEAREST        1           >=5         >=5        NA         NA    CTC       62094   707 10898  1409 49080      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  UW_MEAN_SQUARE 9           <5          <5         NA         NA    CTC       45545 38428  6718   324    75      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  UW_MEAN_SQUARE 9           >=5         >=5        NA         NA    CTC       45545    75   324  6718 38428      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  UW_MEAN_SQUARE 9           <5          <5         NA         NA    CTC       61807 48859  1374 10868   706      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  UW_MEAN_SQUARE 9           >=5         >=5        NA         NA    CTC       61807   706 10868  1374 48859      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  MIN_SQUARE     9           <5          <5         NA         NA    CTC       45545 38527  6776   225    17      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  MIN_SQUARE     9           >=5         >=5        NA         NA    CTC       45545    17   225  6776 38527      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  MIN_SQUARE     9           <5          <5         NA         NA    CTC       61807 50488  1433  9239   647      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  MIN_SQUARE     9           >=5         >=5        NA         NA    CTC       61807   647  9239  1433 50488      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  MAX_SQUARE     9           <5          <5         NA         NA    CTC       45545 38210  6543   542   250      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC165  MAX_SQUARE     9           >=5         >=5        NA         NA    CTC       45545   250   542  6543 38210      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  MAX_SQUARE     9           <5          <5         NA         NA    CTC       61807 47108  1319 12619   761      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 UGRD     m/s        Z10      UGRD    m/s       Z10     ANALYS DTC166  MAX_SQUARE     9           >=5         >=5        NA         NA    CTC       61807   761 12619  1319 47108      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC165  NEAREST        1           <5          <5         NA         NA    CTC       45845 42536  1224  2074    11      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC165  NEAREST        1           >=5         >=5        NA         NA    CTC       45845    11  2074  1224 42536      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC166  NEAREST        1           <5          <5         NA         NA    CTC       62094 56083  4950   791   270      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC166  NEAREST        1           >=5         >=5        NA         NA    CTC       62094   270   791  4950 56083      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC165  UW_MEAN_SQUARE 9           <5          <5         NA         NA    CTC       45545 42300  1232  2010     3      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC165  UW_MEAN_SQUARE 9           >=5         >=5        NA         NA    CTC       45545     3  2010  1232 42300      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC166  UW_MEAN_SQUARE 9           <5          <5         NA         NA    CTC       61807 55799  4954   789   265      0.5
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 010000   20120517_120000 20120517_120000 VGRD     m/s        Z10      VGRD    m/s       Z10     ANALYS DTC166  UW_MEAN_SQUARE 9           >=5         >=5        NA         NA    CTC       61807   265   789  4954 55799      0.5
