VERSION MODEL N_VALID GRID_RES DESC FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH   WIDTH    AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF ASPECT_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA CURVATURE_RATIO COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F001_O001 CF000_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            57.46865      43.27817         43.27817   88.16073    0.081034   0.10559                  0        178            178                0               0.89849          0.86663                    0.88385  0.036765
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F001_O002 CF000_CO000   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            76.49784      65.76473         65.76473   87.4017     0.39008    0.13492                  0        143            143                0               0.74961          0.95349                    0.79541  0.024523
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F002_O001 CF001_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            10.19853       0                0         20.53283    0.055295   5.13665                112        876            764                0.69565         0.88528          0.67573                    0.77497  0.90336
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F002_O002 CF001_CO000   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            13.87083       0                0         21.29186    0.36434    6.56349                123        830            707                0.97619         0.94241          0.81776                    0.86114  0.89166
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F003_O001 CF000_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            18.75822       6.40312          6.40312   42.94059    0.29223    0.018634                 0        164            164                0               0.98357          0.72514                    0.86402  0.51327
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F003_O002 CF000_CO000   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            39.03354      29.41088         29.41088   42.18156    0.01682    0.02381                  0        129            129                0               0.84823          0.87755                    0.77757  0.22928
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F004_O001 CF000_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            60.11692      52.46904         52.46732   13.01128    0.25962    0.024845                 0        165            165                0               0.62469          0.72236                    0.88739  0.073538
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F004_O002 CF000_CO000   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            58.90276      51               51         12.25226    0.049422   0.031746                 0        130            130                0               0.74876          0.5969                     0.7986   0.058459
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F005_O001 CF000_CO001   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            64.96122      53.7122          53.7122    54.15578    0.45867    0.13043                  0        182            182                0               0.53238          0.88653                    0.94051  0.049908
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4   F005_O002 CF000_CO000   NA         NA           NA           NA        NA       NA       NA         NA          NA  NA          NA          NA         NA             NA          NA            NA          NA            NA             NA          NA            58.71561      49.24429         49.24429   53.39675    0.14962    0.16667                  0        147            147                0               0.63812          0.73256                    0.8464   0.054234
