VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD    INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL BASER     VALUE_BASER N_PNT CL_1 VALUE_1  CL_2 VALUE_2  CL_3 VALUE_3    CL_4 VALUE_4   CL_5 VALUE_5   CL_6 VALUE_6  CL_7 VALUE_7  CL_8 VALUE_8  CL_9 VALUE_9  CL_10 VALUE_10 CL_11 VALUE_11 CL_12 VALUE_12 CL_13 VALUE_13 CL_14 VALUE_14 CL_15 VALUE_15  CL_16 VALUE_16  CL_17 VALUE_17  CL_18 VALUE_18  CL_19 VALUE_19
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    DW_MEAN_SQUARE 9           >1.270      >1.270     NA         NA    ECLV      26624 0.0072867     0.32318    19 0.05 0.21812   0.1 0.082474 0.15 -0.069133   0.2 -0.23969  0.25 -0.43299   0.3 -0.6539  0.35 -0.9088   0.4 -1.20619 0.45 -1.55764   0.5 -1.97938  0.55 -2.49485   0.6 -3.13918  0.65 -3.9676    0.7 -5.07216  0.75  -6.61856   0.8  -8.93814  0.85 -12.80412   0.9 -20.53608  0.95 -43.73196
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    DW_MEAN_SQUARE 9           >2.540      >2.540     NA         NA    ECLV      26624 0.0035306     0.13483    19 0.05 0.086786  0.1 0.029551 0.15 -0.034418   0.2 -0.10638  0.25 -0.18794   0.3 -0.28116 0.35 -0.38871  0.4 -0.51418 0.45 -0.66248   0.5 -0.84043  0.55 -1.05792   0.6 -1.32979  0.65 -1.67933   0.7 -2.14539  0.75  -2.79787   0.8  -3.7766   0.85  -5.4078    0.9  -8.67021  0.95 -18.45745
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    DW_MEAN_SQUARE 25          >0.254      >0.254     NA         NA    ECLV      26624 0.013522      0.49887    19 0.05 0.35365   0.1 0.13549  0.15 -0.10833    0.2 -0.38264  0.25 -0.69352   0.3 -1.04881 0.35 -1.45876  0.4 -1.93704 0.45 -2.50227   0.5 -3.18056  0.55 -4.00957   0.6 -5.04583  0.65 -6.37817   0.7 -8.15463  0.75 -10.64167   0.8 -14.37222  0.85 -20.58981   0.9 -33.025    0.95 -70.33056
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    DW_MEAN_SQUARE 25          >0.635      >0.635     NA         NA    ECLV      26624 0.010066      0.42926    19 0.05 0.28967   0.1 0.09743  0.15 -0.11743    0.2 -0.35914  0.25 -0.63308   0.3 -0.94616 0.35 -1.30741  0.4 -1.72886 0.45 -2.22693   0.5 -2.82463  0.55 -3.55514   0.6 -4.46828  0.65 -5.64232   0.7 -7.20771  0.75  -9.39925   0.8 -12.68657  0.85 -18.16542   0.9 -29.12313  0.95 -61.99627
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    DW_MEAN_SQUARE 25          >1.270      >1.270     NA         NA    ECLV      26624 0.0072867     0.32849    19 0.05 0.22436   0.1 0.08992  0.15 -0.06034    0.2 -0.22938  0.25 -0.42096   0.3 -0.63991 0.35 -0.89255  0.4 -1.18729 0.45 -1.53561   0.5 -1.95361  0.55 -2.46449   0.6 -3.10309  0.65 -3.92415   0.7 -5.0189   0.75  -6.55155   0.8  -8.85052  0.85 -12.68213   0.9 -20.34536  0.95 -43.33505
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    DW_MEAN_SQUARE 25          >2.540      >2.540     NA         NA    ECLV      26624 0.0035306     0.13528    19 0.05 0.093505  0.1 0.043735 0.15 -0.01189    0.2 -0.074468 0.25 -0.14539   0.3 -0.22644 0.35 -0.31997  0.4 -0.42908 0.45 -0.55803   0.5 -0.71277  0.55 -0.90189   0.6 -1.1383   0.65 -1.44225   0.7 -1.84752  0.75  -2.41489   0.8  -3.26596  0.85  -4.6844    0.9  -7.52128  0.95 -16.03191
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    LS_FIT_SQUARE  9           >0.254      >0.254     NA         NA    ECLV      26624 0.013522      0.5018     19 0.05 0.35702   0.1 0.13951  0.15 -0.10359    0.2 -0.37708  0.25 -0.68704   0.3 -1.04127 0.35 -1.45     0.4 -1.92685 0.45 -2.4904    0.5 -3.16667  0.55 -3.99321   0.6 -5.02639  0.65 -6.35476   0.7 -8.12593  0.75 -10.60556   0.8 -14.325    0.85 -20.52407   0.9 -32.92222  0.95 -70.11667
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    LS_FIT_SQUARE  9           >0.635      >0.635     NA         NA    ECLV      26624 0.010066      0.42108    19 0.05 0.27848   0.1 0.08209  0.15 -0.1374     0.2 -0.38433  0.25 -0.66418   0.3 -0.98401 0.35 -1.35304  0.4 -1.78358 0.45 -2.2924    0.5 -2.90299  0.55 -3.64925   0.6 -4.58209  0.65 -5.78145   0.7 -7.3806   0.75  -9.6194    0.8 -12.97761  0.85 -18.57463   0.9 -29.76866  0.95 -63.35075
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    LS_FIT_SQUARE  9           >1.270      >1.270     NA         NA    ECLV      26624 0.0072867     0.33864    19 0.05 0.23359   0.1 0.097938 0.15 -0.053669   0.2 -0.22423  0.25 -0.41753   0.3 -0.63844 0.35 -0.89334  0.4 -1.19072 0.45 -1.54217   0.5 -1.96392  0.55 -2.47938   0.6 -3.12371  0.65 -3.95214   0.7 -5.0567   0.75  -6.60309   0.8  -8.92268  0.85 -12.78866   0.9 -20.52062  0.95 -43.71649
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    LS_FIT_SQUARE  9           >2.540      >2.540     NA         NA    ECLV      26624 0.0035306     0.11374    19 0.05 0.068309  0.1 0.014184 0.15 -0.046308   0.2 -0.11436  0.25 -0.19149   0.3 -0.27964 0.35 -0.38134  0.4 -0.5     0.45 -0.64023   0.5 -0.80851  0.55 -1.01418   0.6 -1.27128  0.65 -1.60182   0.7 -2.04255  0.75  -2.65957   0.8  -3.58511  0.85  -5.12766   0.9  -8.21277  0.95 -17.46809
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    LS_FIT_SQUARE  25          >0.254      >0.254     NA         NA    ECLV      26624 0.013522      0.51732    19 0.05 0.3614    0.1 0.12716  0.15 -0.13464    0.2 -0.42917  0.25 -0.76296   0.3 -1.14444 0.35 -1.58462  0.4 -2.09815 0.45 -2.70505   0.5 -3.43333  0.55 -4.32346   0.6 -5.43611  0.65 -6.86667   0.7 -8.77407  0.75 -11.44444   0.8 -15.45     0.85 -22.12593   0.9 -35.47778  0.95 -75.53333
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    LS_FIT_SQUARE  25          >0.635      >0.635     NA         NA    ECLV      26624 0.010066      0.43894    19 0.05 0.29301   0.1 0.09204  0.15 -0.13257    0.2 -0.38526  0.25 -0.67164   0.3 -0.99893 0.35 -1.37658  0.4 -1.81716 0.45 -2.33786   0.5 -2.96269  0.55 -3.72637   0.6 -4.68097  0.65 -5.90832   0.7 -7.54478  0.75  -9.83582   0.8 -13.27239  0.85 -19         0.9 -30.45522  0.95 -64.8209
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    LS_FIT_SQUARE  25          >1.270      >1.270     NA         NA    ECLV      26624 0.0072867     0.32936    19 0.05 0.2306    0.1 0.10309  0.15 -0.039418   0.2 -0.19974  0.25 -0.38144   0.3 -0.5891  0.35 -0.82871  0.4 -1.10825 0.45 -1.43861   0.5 -1.83505  0.55 -2.31959   0.6 -2.92526  0.65 -3.70398   0.7 -4.74227  0.75  -6.19588   0.8  -8.37629  0.85 -12.01031   0.9 -19.27835  0.95 -41.08247
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    LS_FIT_SQUARE  25          >2.540      >2.540     NA         NA    ECLV      26624 0.0035306     0.10427    19 0.05 0.075028  0.1 0.040189 0.15  0.0012516  0.2 -0.042553 0.25 -0.092199  0.3 -0.14894 0.35 -0.2144   0.4 -0.29078 0.45 -0.38104   0.5 -0.48936  0.55 -0.62175   0.6 -0.78723  0.65 -1         0.7 -1.28369  0.75  -1.68085   0.8  -2.2766   0.85  -3.2695    0.9  -5.25532  0.95 -11.21277
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    BILIN          4           >0.254      >0.254     NA         NA    ECLV      26624 0.013522      0.49563    19 0.05 0.35702   0.1 0.14877  0.15 -0.083987   0.2 -0.34583  0.25 -0.64259   0.3 -0.98175 0.35 -1.37308  0.4 -1.82963 0.45 -2.36919   0.5 -3.01667  0.55 -3.80802   0.6 -4.79722  0.65 -6.06905   0.7 -7.76481  0.75 -10.13889   0.8 -13.7      0.85 -19.63519   0.9 -31.50556  0.95 -67.11667
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    BILIN          4           >0.635      >0.635     NA         NA    ECLV      26624 0.010066      0.42214    19 0.05 0.28397   0.1 0.093698 0.15 -0.11896    0.2 -0.35821  0.25 -0.62935   0.3 -0.93923 0.35 -1.29679  0.4 -1.71393 0.45 -2.20692   0.5 -2.79851  0.55 -3.52156   0.6 -4.42537  0.65 -5.58742   0.7 -7.13682  0.75  -9.30597   0.8 -12.5597   0.85 -17.98259   0.9 -28.82836  0.95 -61.36567
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    BILIN          4           >1.270      >1.270     NA         NA    ECLV      26624 0.0072867     0.33304    19 0.05 0.22518   0.1 0.085911 0.15 -0.069739   0.2 -0.24485  0.25 -0.4433    0.3 -0.6701  0.35 -0.9318   0.4 -1.23711 0.45 -1.59794   0.5 -2.03093  0.55 -2.56014   0.6 -3.22165  0.65 -4.07216   0.7 -5.20619  0.75  -6.79381   0.8  -9.17526  0.85 -13.14433   0.9 -21.08247  0.95 -44.89691
V12.0.0 FCST  NA   120000    20120409_120000 20120409_120000 000000   20120409_113000 20120409_123000 APCP_03  kg/m^2     A3       APCP_03 kg/m^2    A3      ADPSFC FULL    BILIN          4           >2.540      >2.540     NA         NA    ECLV      26624 0.0035306     0.13472    19 0.05 0.085106  0.1 0.026005 0.15 -0.04005    0.2 -0.11436  0.25 -0.19858   0.3 -0.29483 0.35 -0.40589  0.4 -0.53546 0.45 -0.68859   0.5 -0.87234  0.55 -1.09693   0.6 -1.37766  0.65 -1.7386    0.7 -2.21986  0.75  -2.89362   0.8  -3.90426  0.85  -5.58865   0.9  -8.95745  0.95 -19.06383
