VERSION MODEL      DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL INDEX OBS_SID  OBS_LAT OBS_LON   OBS_LVL OBS_ELV FCST          OBS           OBS_QC OBS_CLIMO_MEAN OBS_CLIMO_STDEV OBS_CLIMO_CDF FCST_CLIMO_MEAN FCST_CLIMO_STDEV OBS_PRS    OBS_ERR_IN   OBS_ERR_ADJ   OBS_ERR_FIN   PREP_USE ANLY_USE SETUP_QC QC_WGHT
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_050000 20121025_050000 v        NA         NA       v       NA        NA      287    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MROC   10    -84.22        941     931    3.53548      -0.4             9             NA              NA            NA              NA               NA  872.01172      0.52187    0.52187       0.28057         101       -1       NA 3.99584
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 u        NA         NA       u       NA        NA      287    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MROC   10    -84.22        941     931    0.9204        2               9             NA              NA            NA              NA               NA  872.01172      0.52187    0.52187       0.28057         101       -1       NA 3.99437
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 v        NA         NA       v       NA        NA      287    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MROC   10    -84.22        941     931    3.53549      -0.7             9             NA              NA            NA              NA               NA  872.01172      0.52187    0.52187       0.28057         101       -1       NA 3.99437
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_070000 20121025_070000 u        NA         NA       u       NA        NA      287    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MROC   10    -84.22        941     931    0.9204        2.1             9             NA              NA            NA              NA               NA  872.01172      0.52187    0.52187       0.28057         101       -1       NA 3.99807
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_070000 20121025_070000 v        NA         NA       v       NA        NA      287    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MROC   10    -84.22        941     931    3.53548       0.4             9             NA              NA            NA              NA               NA  872.01172      0.52187    0.52187       0.28057         101       -1       NA 3.99807
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 u        NA         NA       u       NA        NA      284    NA      NA          0           NA          NA         NA         NA    MPR           1     0    78762   10    -84.22        941     931    0.9204        2               9             NA              NA            NA              NA               NA  872.01172      0.56786    0.56786       0.29334         101       -1       NA 3.99092
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 v        NA         NA       v       NA        NA      284    NA      NA          0           NA          NA         NA         NA    MPR           1     0    78762   10    -84.22        941     931    3.53549      -0.7             9             NA              NA            NA              NA               NA  872.01172      0.56786    0.56786       0.29334         101       -1       NA 3.99092
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 u        NA         NA       u       NA        NA      280    NA      NA          0           NA          NA         NA         NA    MPR           1     0 MASKSTID   10    -86.39999      20       0    5.40797      13               2             NA              NA            NA              NA               NA 1006.20117      0.38052    0.38052       0.38052           0        1       NA 3.96497
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 v        NA         NA       v       NA        NA      280    NA      NA          0           NA          NA         NA         NA    MPR           1     0 MASKSTID   10    -86.39999      20       0    1.91143       0               2             NA              NA            NA              NA               NA 1006.20117      0.38052    0.38052       0.38052           0        1       NA 3.96497
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_070000 20121025_070000 ps       NA         NA       ps      NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHTG   14.05 -87.22        994     994  900.0705      901               2             NA              NA            NA              NA               NA  901            1.84301    1.84301       0.79346           0        1       NA 3.99837
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_045500 20121025_045500 ps       NA         NA       ps      NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHSC   14.38 -87.62        628     628  939.98769     940.70001         2             NA              NA            NA              NA               NA  940.70001      1.84301    1.84301       0.51433           0        1       NA 3.99911
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_055500 20121025_055500 ps       NA         NA       ps      NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHSC   14.38 -87.62        628     628  939.98769     939.70001         2             NA              NA            NA              NA               NA  939.70001      1.84301    1.84301       0.507             0        1       NA 3.99957
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_065500 20121025_065500 ps       NA         NA       ps      NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHSC   14.38 -87.62        628     628  939.99602     939.29999         2             NA              NA            NA              NA               NA  939.29999      1.84301    1.84301       0.518             0        1       NA 3.99914
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 ps       NA         NA       ps      NA        NA      181    NA      NA          0           NA          NA         NA         NA    MPR           1     0    78720   14.05 -87.22        994     994  900.0669      900.59998         2             NA              NA            NA              NA               NA  900.59998      1.25505    1.25505       0.55856           0        1       NA 3.99948
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_050000 20121025_050000 ps       NA         NA       ps      NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MNMG   12.15 -86.17001      50      50 1002.07732    1002               2             NA              NA            NA              NA               NA 1002            1.84301    1.84301       0.97708           0        1       NA 3.99962
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 ps       NA         NA       ps      NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MNMG   12.15 -86.17001      50      50 1002.07301    1001               2             NA              NA            NA              NA               NA 1001            1.84301    1.84301       0.95642           0        1       NA 3.99734
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_070000 20121025_070000 ps       NA         NA       ps      NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MNMG   12.15 -86.17001      50      50 1002.07301    1001               2             NA              NA            NA              NA               NA 1001            1.84301    1.84301       0.97025           0        1       NA 3.99734
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_050000 20121025_050000 ps       NA         NA       ps      NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHTG   14.05 -87.22        994     994  900.0705      901               2             NA              NA            NA              NA               NA  901            1.84301    1.84301       0.79346           0        1       NA 3.99837
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 ps       NA         NA       ps      NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHTG   14.05 -87.22        994     994  900.0705      901               2             NA              NA            NA              NA               NA  901            1.84301    1.84301       0.78221           0        1       NA 3.99837
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_070000 20121025_070000 t        NA         NA       t       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHTG   14.05 -87.22        994     994  294.34404     294.75            9             NA              NA            NA              NA               NA  901            0.79422    0.79422       1e-10           101       -1        0 3.99697
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_045500 20121025_045500 t        NA         NA       t       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHSC   14.38 -87.62        628     628  294.43624     296.75            9             NA              NA            NA              NA               NA  940.70001      0.79427    0.79427       1e-10           101       -1        0 3.98449
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_055500 20121025_055500 t        NA         NA       t       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHSC   14.38 -87.62        628     628  294.43624     296.75            9             NA              NA            NA              NA               NA  939.70001      0.79427    0.79427       1e-10           101       -1        0 3.98449
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_065500 20121025_065500 t        NA         NA       t       NA        NA      187    NA      NA          0           NA          NA         NA         NA    MPR           1     0     MHSC   14.38 -87.62        628     628  294.43623     296.64999         9             NA              NA            NA              NA               NA  939.29999      0.79427    0.79427       1e-10           101       -1        0 3.98655
V12.0.0 GSI_MEM001 NA   000000    20121025_060000 20121025_060000 000000   20121025_060000 20121025_060000 t        NA         NA       t       NA        NA      181    NA      NA          0           NA          NA         NA         NA    MPR           1     0    78720   14.05 -87.22        994     994  294.34404     294.85001         9             NA              NA            NA              NA               NA  900.59998      0.96339    0.96339       1e-10           101       -1        0 3.99676
