VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL INDEX OBS_SID OBS_LAT OBS_LON   OBS_LVL OBS_ELV       FCST      OBS       OBS_QC OBS_CLIMO_MEAN OBS_CLIMO_STDEV OBS_CLIMO_CDF FCST_CLIMO_MEAN FCST_CLIMO_STDEV CHAN_USE SCAN_POS SAT_ZNTH SAT_AZMTH SUN_ZNTH  SUN_AZMTH SUN_GLNT FRAC_WTR  FRAC_LND   FRAC_ICE FRAC_SNW SFC_TWTR  SFC_TLND  SFC_TICE SFC_TSNW TSOIL     SOILM   LAND_TYPE FRAC_VEG SNW_DPTH SFC_WIND CLD_LWC   TC_PWAT     TFND      TWARM     TCOOL     TZFND     OBS_ERR  FCST_NOBC SFC_EMIS STABILITY   PRS_MAX_WGT
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071150 20121025_071150 TB_11    NA         NA       TB_11   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.6916 -72.02661      NA 1440.33984    222.41649 224.83         3             NA              NA            NA              NA               NA        1       30    57.81     98.03 140.28999    101.15        0 0         1                 0        0 287.06641 287.06641      280      280 290.64404 0.38438         6 0.71338         0  3.52964 0          0.60457    273.88    272.64001 270.03    259.37    0        223.46954  0.94662 -0.033366            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071150 20121025_071150 TB_12    NA         NA       TB_12   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.6916 -72.02661      NA 1440.33984    227.87258 235.56         3             NA              NA            NA              NA               NA        1       30    57.81     98.03 140.28999    101.15        0 0         1                 0        0 287.06641 287.06641      280      280 290.64404 0.38438         6 0.71338         0  3.52964 0          0.60457    273.88    272.64001 270.03    259.37    0        228.97884  0.94662 -0.0081428           NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071150 20121025_071150 TB_13    NA         NA       TB_13   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.6916 -72.02661      NA 1440.33984    229.51072 248.02         3             NA              NA            NA              NA               NA        1       30    57.81     98.03 140.28999    101.15        0 0         1                 0        0 287.06641 287.06641      280      280 290.64404 0.38438         6 0.71338         0  3.52964 0          0.60457    273.88    272.64001 270.03    259.37    0        229.87272  0.94662 -0.00051426          NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071150 20121025_071150 TB_14    NA         NA       TB_14   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.6916 -72.02661      NA 1440.33984    231.04089 257.82001      3             NA              NA            NA              NA               NA       -1       30    57.81     98.03 140.28999    101.15        0 0         1                 0        0 287.06641 287.06641      280      280 290.64404 0.38438         6 0.71338         0  3.52964 0          0.60457    273.88    272.64001 270.03    259.37    0        229.91889  0.94662 -9.4793e-06          NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071150 20121025_071150 TB_15    NA         NA       TB_15   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.6916 -72.02661      NA 1440.33984    279.48179 279.29999     51             NA              NA            NA              NA               NA        1       30    57.81     98.03 140.28999    101.15        0 0         1                 0        0 287.06641 287.06641      280      280 290.64404 0.38438         6 0.71338         0  3.52964 0          0.60457    273.88    272.64001 270.03    259.37    0        277.63395  0.95     0.010869            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071141 20121025_071141 TB_01    NA         NA       TB_01   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.8525 -69.64951      NA   88.52699    281.07151 278.14001      0             NA              NA            NA              NA               NA        1       28    48.86     98.21 138.03       100.73        0 0         1                 0        0 297.45087 297.45087      280      280 299.46454 0.33279         6 0.42418         0  2.07056 0          0.36368    278.14001 273.97    275.51001 265.87    0.19946  282.96215  0.91848  0.012763            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071141 20121025_071141 TB_02    NA         NA       TB_02   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.8525 -69.64951      NA   88.52699    278.99158 273.97         3             NA              NA            NA              NA               NA        1       28    48.86     98.21 138.03       100.73        0 0         1                 0        0 297.45087 297.45087      280      280 299.46454 0.33279         6 0.42418         0  2.07056 0          0.36368    278.14001 273.97    275.51001 265.87    0        280.14593  0.92489  0.0056206           NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071141 20121025_071141 TB_03    NA         NA       TB_03   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.8525 -69.64951      NA   88.52699    279.12785 275.51001      0             NA              NA            NA              NA               NA        1       28    48.86     98.21 138.03       100.73        0 0         1                 0        0 297.45087 297.45087      280      280 299.46454 0.33279         6 0.42418         0  2.07056 0          0.36368    278.14001 273.97    275.51001 265.87    0.27104  280.77682  0.93513  0.023745            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071141 20121025_071141 TB_04    NA         NA       TB_04   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.8525 -69.64951      NA   88.52699    265.76085 265.87         0             NA              NA            NA              NA               NA        1       28    48.86     98.21 138.03       100.73        0 0         1                 0        0 297.45087 297.45087      280      280 299.46454 0.33279         6 0.42418         0  2.07056 0          0.36368    278.14001 273.97    275.51001 265.87    1.10875  268.1487   0.93604  0.050092            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071141 20121025_071141 TB_05    NA         NA       TB_05   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.8525 -69.64951      NA   88.52699    250.27535 250.12         0             NA              NA            NA              NA               NA        1       28    48.86     98.21 138.03       100.73        0 0         1                 0        0 297.45087 297.45087      280      280 299.46454 0.33279         6 0.42418         0  2.07056 0          0.36368    278.14001 273.97    275.51001 265.87    2.30611  252.34545  0.93414  0.064659            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071141 20121025_071141 TB_06    NA         NA       TB_06   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.8525 -69.64951      NA   88.52699    230.36932 230.57001      0             NA              NA            NA              NA               NA        1       28    48.86     98.21 138.03       100.73        0 0         1                 0        0 297.45087 297.45087      280      280 299.46454 0.33279         6 0.42418         0  2.07056 0          0.36368    278.14001 273.97    275.51001 265.87    3.06805  232.50111  0.93441  0.072393            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071141 20121025_071141 TB_07    NA         NA       TB_07   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.8525 -69.64951      NA   88.52699    216.49877 216.98         0             NA              NA            NA              NA               NA        1       28    48.86     98.21 138.03       100.73        0 0         1                 0        0 297.45087 297.45087      280      280 299.46454 0.33279         6 0.42418         0  2.07056 0          0.36368    278.14001 273.97    275.51001 265.87    3.06346  219.07485  0.93676  0.060902            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071141 20121025_071141 TB_08    NA         NA       TB_08   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.8525 -69.64951      NA   88.52699    206.87315 207.12         0             NA              NA            NA              NA               NA        1       28    48.86     98.21 138.03       100.73        0 0         1                 0        0 297.45087 297.45087      280      280 299.46454 0.33279         6 0.42418         0  2.07056 0          0.36368    278.14001 273.97    275.51001 265.87    2.81454  208.94852  0.93478  0.038256            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071141 20121025_071141 TB_09    NA         NA       TB_09   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.8525 -69.64951      NA   88.52699    202.13397 202.16         0             NA              NA            NA              NA               NA       -1       28    48.86     98.21 138.03       100.73        0 0         1                 0        0 297.45087 297.45087      280      280 299.46454 0.33279         6 0.42418         0  2.07056 0          0.36368    278.14001 273.97    275.51001 265.87    2.79073  203.95997  0.93534 -0.03043             NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071141 20121025_071141 TB_10    NA         NA       TB_10   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.8525 -69.64951      NA   88.52699    210.43835 210.73         0             NA              NA            NA              NA               NA        1       28    48.86     98.21 138.03       100.73        0 0         1                 0        0 297.45087 297.45087      280      280 299.46454 0.33279         6 0.42418         0  2.07056 0          0.36368    278.14001 273.97    275.51001 265.87    1.92895  212.00068  0.93534 -0.047239            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071141 20121025_071141 TB_11    NA         NA       TB_11   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.8525 -69.64951      NA   88.52699    221.29754 222.32001      3             NA              NA            NA              NA               NA        1       28    48.86     98.21 138.03       100.73        0 0         1                 0        0 297.45087 297.45087      280      280 299.46454 0.33279         6 0.42418         0  2.07056 0          0.36368    278.14001 273.97    275.51001 265.87    0        222.71541  0.93534 -0.039889            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071141 20121025_071141 TB_12    NA         NA       TB_12   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.8525 -69.64951      NA   88.52699    228.21419 234.5          3             NA              NA            NA              NA               NA        1       28    48.86     98.21 138.03       100.73        0 0         1                 0        0 297.45087 297.45087      280      280 299.46454 0.33279         6 0.42418         0  2.07056 0          0.36368    278.14001 273.97    275.51001 265.87    0        229.16957  0.93534 -0.013144            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071141 20121025_071141 TB_13    NA         NA       TB_13   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.8525 -69.64951      NA   88.52699    230.16883 246.38         3             NA              NA            NA              NA               NA        1       28    48.86     98.21 138.03       100.73        0 0         1                 0        0 297.45087 297.45087      280      280 299.46454 0.33279         6 0.42418         0  2.07056 0          0.36368    278.14001 273.97    275.51001 265.87    0        230.46983  0.93534 -0.0012704           NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071141 20121025_071141 TB_14    NA         NA       TB_14   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.8525 -69.64951      NA   88.52699    231.67558 254.87         3             NA              NA            NA              NA               NA       -1       28    48.86     98.21 138.03       100.73        0 0         1                 0        0 297.45087 297.45087      280      280 299.46454 0.33279         6 0.42418         0  2.07056 0          0.36368    278.14001 273.97    275.51001 265.87    0        230.56058  0.93534 -4.4572e-05          NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071141 20121025_071141 TB_15    NA         NA       TB_15   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  6.8525 -69.64951      NA   88.52699    289.47012 284.64001      3             NA              NA            NA              NA               NA        1       28    48.86     98.21 138.03       100.73        0 0         1                 0        0 297.45087 297.45087      280      280 299.46454 0.33279         6 0.42418         0  2.07056 0          0.36368    278.14001 273.97    275.51001 265.87    0        287.84624  0.95     0.018435            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071142 20121025_071142 TB_01    NA         NA       TB_01   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  7.1547 -71.92639      NA  201.37866    281.58695 275.26999      3             NA              NA            NA              NA               NA        1       30    57.81     97.96 140.31       100.6         0 0         1                 0        0 293.65042 293.65042      280      280 299.55072 0.24879         8 0.83557         0  2.27402 0          0.37339    275.26999 273.06    271.76999 260.19    0        283.40085  0.94718  0.013931            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071142 20121025_071142 TB_02    NA         NA       TB_02   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  7.1547 -71.92639      NA  201.37866    279.70111 273.06         3             NA              NA            NA              NA               NA        1       30    57.81     97.96 140.31       100.6         0 0         1                 0        0 293.65042 293.65042      280      280 299.55072 0.24879         8 0.83557         0  2.27402 0          0.37339    275.26999 273.06    271.76999 260.19    0        280.40164  0.94259  0.0060544           NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071142 20121025_071142 TB_03    NA         NA       TB_03   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  7.1547 -71.92639      NA  201.37866    273.69478 271.76999      0             NA              NA            NA              NA               NA        1       30    57.81     97.96 140.31       100.6         0 0         1                 0        0 293.65042 293.65042      280      280 299.55072 0.24879         8 0.83557         0  2.27402 0          0.37339    275.26999 273.06    271.76999 260.19    0.28482  276.99857  0.92961  0.026298            NA
V12.0.0 GSI   NA   000000    20121025_060000 20121025_060000 000000   20121025_071142 20121025_071142 TB_04    NA         NA       TB_04   NA        NA      NA     NA      NA          0           NA          NA         NA         NA    MPR           1     0      NA  7.1547 -71.92639      NA  201.37866    260.3983  260.19         0             NA              NA            NA              NA               NA        1       30    57.81     97.96 140.31       100.6         0 0         1                 0        0 293.65042 293.65042      280      280 299.55072 0.24879         8 0.83557         0  2.27402 0          0.37339    275.26999 273.06    271.76999 260.19    1.18983  263.41718  0.92777  0.053899            NA
