VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR            FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK   INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_THRESH BASER    BASER_NCL  BASER_NCU RELIABILITY RESOLUTION UNCERTAINTY ROC_AUC  BRIER    BRIER_NCL   BRIER_NCU BRIERCL BRIERCL_NCL BRIERCL_NCU BSS BSS_SMPL  THRESH_1 THRESH_2 THRESH_3 THRESH_4 THRESH_5
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           ==0.25000   >1.5       NA         0.05  PSTD       1125        5 0.296    0.27006    0.32333     0.0098886   0.15109     0.20838   0.94852 0.067181  0.030543    0.10382       NA          NA          NA  NA  0.67761         0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>2.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           ==0.25000   >2.0       NA         0.05  PSTD       1125        5 0.288    0.2623     0.31515     0.0098401   0.14905     0.20506   0.95016 0.065847  0.029956    0.10174       NA          NA          NA  NA  0.67888         0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 NEAREST     1           ==0.25000   >0         NA         0.05  PSTD         35        5 0        6.2526e-18 0.098901    0.17991     0           0        NA       0.17991  NA          NA             NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 NEAREST     1           ==0.25000   >0.1       NA         0.05  PSTD         35        5 0        6.2526e-18 0.098901    0.11563     0           0        NA       0.11563  NA          NA             NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 NEAREST     1           ==0.25000   >0.25      NA         0.05  PSTD         35        5 0        6.2526e-18 0.098901    0.097768    0           0        NA       0.097768 NA          NA             NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 NEAREST     1           ==0.25000   >0.5       NA         0.05  PSTD         35        5 0        6.2526e-18 0.098901    0.065625    0           0        NA       0.065625  0.032739    0.098511      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 NEAREST     1           ==0.25000   >1.0       NA         0.05  PSTD         35        5 0        6.2526e-18 0.098901    0.040625    0           0        NA       0.040625  0.00030563  0.080944      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 NEAREST     1           ==0.25000   >1.5       NA         0.05  PSTD         35        5 0        6.2526e-18 0.098901    0.029911    0           0        NA       0.029911 -0.014473    0.074294      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>2.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 NEAREST     1           ==0.25000   >2.0       NA         0.05  PSTD         35        5 0        6.2526e-18 0.098901    0.029911    0           0        NA       0.029911 -0.014473    0.074294      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 HIRA_SQUARE 4           ==0.25000   >0         NA         0.05  PSTD         35        5 0        6.2526e-18 0.098901    0.1442      0           0        NA       0.1442   NA          NA             NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 HIRA_SQUARE 4           ==0.25000   >0.1       NA         0.05  PSTD         35        5 0        6.2526e-18 0.098901    0.10134     0           0        NA       0.10134  NA          NA             NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 HIRA_SQUARE 4           ==0.25000   >0.25      NA         0.05  PSTD         35        5 0        6.2526e-18 0.098901    0.090625    0           0        NA       0.090625  0.070325    0.11092       NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 HIRA_SQUARE 4           ==0.25000   >0.5       NA         0.05  PSTD         35        5 0        6.2526e-18 0.098901    0.044196    0           0        NA       0.044196  0.0012494   0.087143      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 HIRA_SQUARE 4           ==0.25000   >1.0       NA         0.05  PSTD         35        5 0        6.2526e-18 0.098901    0.040625    0           0        NA       0.040625 -0.0058628   0.087113      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 HIRA_SQUARE 4           ==0.25000   >1.5       NA         0.05  PSTD         35        5 0        6.2526e-18 0.098901    0.040625    0           0        NA       0.040625 -0.0058628   0.087113      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>2.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 HIRA_SQUARE 4           ==0.25000   >2.0       NA         0.05  PSTD         35        5 0        6.2526e-18 0.098901    0.029911    0           0        NA       0.029911 -0.020674    0.080496      NA          NA          NA  NA NA               0     0.25      0.5     0.75        1
