VERSION MODEL DESC FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR            FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK   INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_THRESH THRESH_1 OY_TP_1   ON_TP_1 CALIBRATION_1 REFINEMENT_1 LIKELIHOOD_1 BASER_1  THRESH_2 OY_TP_2   ON_TP_2   CALIBRATION_2 REFINEMENT_2 LIKELIHOOD_2 BASER_2  THRESH_3 OY_TP_3  ON_TP_3   CALIBRATION_3 REFINEMENT_3 LIKELIHOOD_3 BASER_3  THRESH_4 OY_TP_4 ON_TP_4   CALIBRATION_4 REFINEMENT_4 LIKELIHOOD_4 BASER_4  THRESH_5
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           ==0.25000   >0.5       NA         NA    PJC        1125        5        0 0.013333  0.59822      0.021802      0.61156     0.040323 0.021802     0.25 0.011556  0.017778        0.39394    0.029333      0.034946  0.39394      0.5 0.014222 0.023111        0.38095    0.037333      0.043011  0.38095     0.75 0.29156 0.030222        0.90608    0.32178        0.88172  0.90608        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           ==0.25000   >1.0       NA         NA    PJC        1125        5        0 0.015111  0.608        0.024251      0.62311     0.048433 0.024251     0.25 0.011556  0.026667        0.30233    0.038222      0.037037  0.30233      0.5 0.014222 0.018667        0.43243    0.032889      0.045584  0.43243     0.75 0.27111 0.034667        0.88663    0.30578        0.86895  0.88663        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           ==0.25000   >1.5       NA         NA    PJC        1125        5        0 0.013333  0.624        0.020921      0.63733     0.045045 0.020921     0.25 0.0097778 0.024           0.28947    0.033778      0.033033  0.28947      0.5 0.012444 0.023111        0.35       0.035556      0.042042  0.35        0.75 0.26044 0.032889        0.88788    0.29333        0.87988  0.88788        1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>2.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL      HIRA_SQUARE 4           ==0.25000   >2.0       NA         NA    PJC        1125        5        0 0.012444  0.63378      0.019257      0.64622     0.04321  0.019257     0.25 0.012444  0.025778        0.32558    0.038222      0.04321   0.32558      0.5 0.010667 0.020444        0.34286    0.031111      0.037037  0.34286     0.75 0.25244 0.032           0.8875     0.28444        0.87654  0.8875         1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 NEAREST     1           ==0.25000   >0         NA         NA    PJC          35        5        0 0         0.6          0             0.6        NA        0            0.25 0         0.11429         0          0.11429      NA         0            0.5 0        0.17143         0          0.17143      NA         0           0.75 0       0.11429         0          0.11429       NA        0              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 NEAREST     1           ==0.25000   >0.1       NA         NA    PJC          35        5        0 0         0.68571      0             0.68571    NA        0            0.25 0         0.11429         0          0.11429      NA         0            0.5 0        0.17143         0          0.17143      NA         0           0.75 0       0.028571        0          0.028571      NA        0              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 NEAREST     1           ==0.25000   >0.25      NA         NA    PJC          35        5        0 0         0.71429      0             0.71429    NA        0            0.25 0         0.14286         0          0.14286      NA         0            0.5 0        0.11429         0          0.11429      NA         0           0.75 0       0.028571        0          0.028571      NA        0              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 NEAREST     1           ==0.25000   >0.5       NA         NA    PJC          35        5        0 0         0.82857      0             0.82857    NA        0            0.25 0         0.057143        0          0.057143     NA         0            0.5 0        0.11429         0          0.11429      NA         0           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 NEAREST     1           ==0.25000   >1.0       NA         NA    PJC          35        5        0 0         0.85714      0             0.85714    NA        0            0.25 0         0.11429         0          0.11429      NA         0            0.5 0        0.028571        0          0.028571     NA         0           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 NEAREST     1           ==0.25000   >1.5       NA         NA    PJC          35        5        0 0         0.88571      0             0.88571    NA        0            0.25 0         0.11429         0          0.11429      NA         0            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>2.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 NEAREST     1           ==0.25000   >2.0       NA         NA    PJC          35        5        0 0         0.88571      0             0.88571    NA        0            0.25 0         0.11429         0          0.11429      NA         0            0.5 0        0              NA          0            NA        NA           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0)     kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 HIRA_SQUARE 4           ==0.25000   >0         NA         NA    PJC          35        5        0 0         0.62857      0             0.62857    NA        0            0.25 0         0.17143         0          0.17143      NA         0            0.5 0        0.11429         0          0.11429      NA         0           0.75 0       0.085714        0          0.085714      NA        0              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.1)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 HIRA_SQUARE 4           ==0.25000   >0.1       NA         NA    PJC          35        5        0 0         0.71429      0             0.71429    NA        0            0.25 0         0.17143         0          0.17143      NA         0            0.5 0        0.057143        0          0.057143     NA         0           0.75 0       0.057143        0          0.057143      NA        0              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.25)  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 HIRA_SQUARE 4           ==0.25000   >0.25      NA         NA    PJC          35        5        0 0         0.8          0             0.8        NA        0            0.25 0         0.085714        0          0.085714     NA         0            0.5 0        0.057143        0          0.057143     NA         0           0.75 0       0.057143        0          0.057143      NA        0              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>0.5)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 HIRA_SQUARE 4           ==0.25000   >0.5       NA         NA    PJC          35        5        0 0         0.88571      0             0.88571    NA        0            0.25 0         0.057143        0          0.057143     NA         0            0.5 0        0.057143        0          0.057143     NA         0           0.75 0       0              NA          0             NA       NA              1
V12.0.0 FCST  NA   240000    20100101_120000 20100101_120000 000000   20100101_103000 20100101_133000 PROB(APCP_24>1.0)   kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC HUC4_1605 HIRA_SQUARE 4           ==0.25000   >1.0       NA         NA    PJC          35        5        0 0         0.91429      0             0.91429    NA        0            0.25 0         0.028571        0          0.028571     NA         0            0.5 0        0.057143        0          0.057143     NA         0           0.75 0       0              NA          0             NA       NA              1
