VERSION MODEL DESC       FCST_LEAD FCST_VALID_BEG  FCST_VALID_END  OBS_LEAD OBS_VALID_BEG   OBS_VALID_END   FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE VX_MASK INTERP_MTHD INTERP_PNTS FCST_THRESH OBS_THRESH COV_THRESH ALPHA LINE_TYPE TOTAL N_ENS CRPS      CRPSS IGN        ME        RMSE      SPREAD    ME_OERR RMSE_OERR SPREAD_OERR SPREAD_PLUS_OERR CRPSCL CRPS_EMP CRPSCL_EMP CRPSS_EMP CRPS_EMP_FAIR SPREAD_MD  MAE      MAE_OERR BIAS_RATIO N_GE_OBS ME_GE_OBS  N_LT_OBS ME_LT_OBS IGN_CONV_OERR IGN_CORR_OERR
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    NEAREST     1           NA          NA         NA         NA    ECNT        311     5 0.41055      NA  -0.50746   0.031537  1.19757  1.50732        NA        NA          NA               NA     NA 0.38653          NA        NA      0.29681  0.89723    0.56568        NA    0.20651     1307  0.4622         248 -2.2381              NA            NA
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    NEAREST     1           NA          >0         NA         NA    ECNT         66     5 1.15014      NA   2.71546  -1.09933   2.06699  2.44838        NA        NA          NA               NA     NA 1.366            NA        NA      1.14135  2.24652    1.41764        NA    1.04765       82  2.34476        248 -2.2381              NA            NA
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC FULL    NEAREST     1           NA          >=2.54     NA         NA    ECNT         33     5 1.69127      NA   3.11642  -2.16824   2.81092  2.83549        NA        NA          NA               NA     NA 2.07215          NA        NA      1.79939  2.72752    2.21297        NA    0.9538        27  3.04           138 -3.18725             NA            NA
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC NWC     NEAREST     1           NA          NA         NA         NA    ECNT        226     5 0.52433      NA   0.086833  0.064292  1.36402  1.73303        NA        NA          NA               NA     NA 0.49083          NA        NA      0.37503  1.15804    0.72679        NA    0.28297      906  0.63506        224 -2.24424             NA            NA
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC NWC     NEAREST     1           NA          >0         NA         NA    ECNT         60     5 1.14539      NA   2.58147  -1.0793    2.06935  2.48046        NA        NA          NA               NA     NA 1.36311          NA        NA      1.13587  2.27247    1.4161         NA    1.049         76  2.35421        224 -2.24424             NA            NA
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC NWC     NEAREST     1           NA          >=2.54     NA         NA    ECNT         32     5 1.65462      NA   3.11879  -2.09781   2.74538  2.82378        NA        NA          NA               NA     NA 2.04054          NA        NA      1.77131  2.69225    2.14394        NA    1.00762       26  3.13731        134 -3.11358             NA            NA
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_103000 20120410_133000 APCP_24  kg/m^2     A24      APCP_24 kg/m^2    A24     ADPSFC GRB     NEAREST     1           NA          NA         NA         NA    ECNT          4     5 0.0013961    NA  -4.39095   0.002     0.002    0.0044721      NA        NA          NA               NA     NA 0.0004           NA        NA      0        0.004      0.002          NA   NA             20  0.002            0 NA                   NA            NA
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 TMP      K          Z2       TMP     K         Z2      ANALYS FULL    NEAREST     1           NA          NA         NA         NA    ECNT      26026     5 1.09683      NA  14.40765   0.050665  1.94083  0.69048        NA        NA          NA               NA     NA 1.13152          NA        NA      1.06521  0.66308    1.30291        NA    0.89279    71098  1.3246       59032 -1.48365             NA            NA
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 TMP      K          Z2       TMP     K         Z2      ANALYS NWC     NEAREST     1           NA          NA         NA         NA    ECNT       2461     5 1.27799      NA   7.30759   0.051261  2.06586  0.96366        NA        NA          NA               NA     NA 1.32279          NA        NA      1.21628  1.06509    1.59921        NA    1.12559     5969  1.85542       6336 -1.6484              NA            NA
V12.0.0 FCST  SKIP_CONST 240000    20120410_120000 20120410_120000 000000   20120410_120000 20120410_120000 TMP      K          Z2       TMP     K         Z2      ANALYS GRB     NEAREST     1           NA          NA         NA         NA    ECNT       5122     5 2.00862      NA  25.20678  -0.37257   2.92556  0.93067        NA        NA          NA               NA     NA 2.05936          NA        NA      1.96506  0.94303    2.36412        NA    0.92591    11331  2.3325       14279 -2.51916             NA            NA
